candidate,office,district,party,county,precinct,votes
Joseph R. Biden,President,,D,Clairborne,County Precinct 1-A,569
Donald J. Trump,President,,R,Clairborne,County Precinct 1-A,81
Don Blankenship,President,,AC,Clairborne,County Precinct 1-A,1
Brian Carroll,President,,AS,Clairborne,County Precinct 1-A,2
Phil Collins,President,,IND,Clairborne,County Precinct 1-A,1
Howie Hawkins,President,,G,Clairborne,County Precinct 1-A,2
Jo Jorgensen,President,,L,Clairborne,County Precinct 1-A,2
Brock Pierce,President,,IND,Clairborne,County Precinct 1-A,1
Kanye West,President,,IND,Clairborne,County Precinct 1-A,3
Mike Espy,U.S. Senate,,D,Clairborne,County Precinct 1-A,588
Cindy Hyde-Smith,U.S. Senate,,R,Clairborne,County Precinct 1-A,78
Jimmy L Edwards,U.S. Senate,,L,Clairborne,County Precinct 1-A,1
Brian Flowers,U.S. House,2,R,Clairborne,County Precinct 1-A,80
Bennie G. Thompson,U.S. House,2,D,Clairborne,County Precinct 1-A,578
Joseph R. Biden,President,,D,Clairborne,County Precinct 1-B,320
Donald J. Trump,President,,R,Clairborne,County Precinct 1-B,7
Don Blankenship,President,,AC,Clairborne,County Precinct 1-B,0
Brian Carroll,President,,AS,Clairborne,County Precinct 1-B,0
Phil Collins,President,,IND,Clairborne,County Precinct 1-B,0
Howie Hawkins,President,,G,Clairborne,County Precinct 1-B,0
Jo Jorgensen,President,,L,Clairborne,County Precinct 1-B,0
Brock Pierce,President,,IND,Clairborne,County Precinct 1-B,0
Kanye West,President,,IND,Clairborne,County Precinct 1-B,4
Mike Espy,U.S. Senate,,D,Clairborne,County Precinct 1-B,326
Cindy Hyde-Smith,U.S. Senate,,R,Clairborne,County Precinct 1-B,3
Jimmy L Edwards,U.S. Senate,,L,Clairborne,County Precinct 1-B,4
Brian Flowers,U.S. House,2,R,Clairborne,County Precinct 1-B,10
Bennie G. Thompson,U.S. House,2,D,Clairborne,County Precinct 1-B,313
Joseph R. Biden,President,,D,Clairborne,County Precinct 2-A,372
Donald J. Trump,President,,R,Clairborne,County Precinct 2-A,88
Don Blankenship,President,,AC,Clairborne,County Precinct 2-A,1
Brian Carroll,President,,AS,Clairborne,County Precinct 2-A,3
Phil Collins,President,,IND,Clairborne,County Precinct 2-A,0
Howie Hawkins,President,,G,Clairborne,County Precinct 2-A,0
Jo Jorgensen,President,,L,Clairborne,County Precinct 2-A,2
Brock Pierce,President,,IND,Clairborne,County Precinct 2-A,1
Kanye West,President,,IND,Clairborne,County Precinct 2-A,4
Mike Espy,U.S. Senate,,D,Clairborne,County Precinct 2-A,398
Cindy Hyde-Smith,U.S. Senate,,R,Clairborne,County Precinct 2-A,74
Jimmy L Edwards,U.S. Senate,,L,Clairborne,County Precinct 2-A,3
Brian Flowers,U.S. House,2,R,Clairborne,County Precinct 2-A,78
Bennie G. Thompson,U.S. House,2,D,Clairborne,County Precinct 2-A,391
Joseph R. Biden,President,,D,Clairborne,County Precinct 2-B,209
Donald J. Trump,President,,R,Clairborne,County Precinct 2-B,33
Don Blankenship,President,,AC,Clairborne,County Precinct 2-B,0
Brian Carroll,President,,AS,Clairborne,County Precinct 2-B,0
Phil Collins,President,,IND,Clairborne,County Precinct 2-B,2
Howie Hawkins,President,,G,Clairborne,County Precinct 2-B,0
Jo Jorgensen,President,,L,Clairborne,County Precinct 2-B,0
Brock Pierce,President,,IND,Clairborne,County Precinct 2-B,0
Kanye West,President,,IND,Clairborne,County Precinct 2-B,1
Mike Espy,U.S. Senate,,D,Clairborne,County Precinct 2-B,219
Cindy Hyde-Smith,U.S. Senate,,R,Clairborne,County Precinct 2-B,30
Jimmy L Edwards,U.S. Senate,,L,Clairborne,County Precinct 2-B,1
Brian Flowers,U.S. House,2,R,Clairborne,County Precinct 2-B,30
Bennie G. Thompson,U.S. House,2,D,Clairborne,County Precinct 2-B,218
Joseph R. Biden,President,,D,Clairborne,County Precinct 3-A,660
Donald J. Trump,President,,R,Clairborne,County Precinct 3-A,146
Don Blankenship,President,,AC,Clairborne,County Precinct 3-A,1
Brian Carroll,President,,AS,Clairborne,County Precinct 3-A,1
Phil Collins,President,,IND,Clairborne,County Precinct 3-A,2
Howie Hawkins,President,,G,Clairborne,County Precinct 3-A,2
Jo Jorgensen,President,,L,Clairborne,County Precinct 3-A,3
Brock Pierce,President,,IND,Clairborne,County Precinct 3-A,1
Kanye West,President,,IND,Clairborne,County Precinct 3-A,4
Mike Espy,U.S. Senate,,D,Clairborne,County Precinct 3-A,682
Cindy Hyde-Smith,U.S. Senate,,R,Clairborne,County Precinct 3-A,135
Jimmy L Edwards,U.S. Senate,,L,Clairborne,County Precinct 3-A,8
Brian Flowers,U.S. House,2,R,Clairborne,County Precinct 3-A,142
Bennie G. Thompson,U.S. House,2,D,Clairborne,County Precinct 3-A,679
Joseph R. Biden,President,,D,Clairborne,County Precinct 3-B,16
Donald J. Trump,President,,R,Clairborne,County Precinct 3-B,18
Don Blankenship,President,,AC,Clairborne,County Precinct 3-B,0
Brian Carroll,President,,AS,Clairborne,County Precinct 3-B,0
Phil Collins,President,,IND,Clairborne,County Precinct 3-B,0
Howie Hawkins,President,,G,Clairborne,County Precinct 3-B,0
Jo Jorgensen,President,,L,Clairborne,County Precinct 3-B,0
Brock Pierce,President,,IND,Clairborne,County Precinct 3-B,0
Kanye West,President,,IND,Clairborne,County Precinct 3-B,0
Mike Espy,U.S. Senate,,D,Clairborne,County Precinct 3-B,17
Cindy Hyde-Smith,U.S. Senate,,R,Clairborne,County Precinct 3-B,17
Jimmy L Edwards,U.S. Senate,,L,Clairborne,County Precinct 3-B,0
Brian Flowers,U.S. House,2,R,Clairborne,County Precinct 3-B,17
Bennie G. Thompson,U.S. House,2,D,Clairborne,County Precinct 3-B,17
Joseph R. Biden,President,,D,Clairborne,County Precinct 4-A,340
Donald J. Trump,President,,R,Clairborne,County Precinct 4-A,35
Don Blankenship,President,,AC,Clairborne,County Precinct 4-A,0
Brian Carroll,President,,AS,Clairborne,County Precinct 4-A,2
Phil Collins,President,,IND,Clairborne,County Precinct 4-A,0
Howie Hawkins,President,,G,Clairborne,County Precinct 4-A,0
Jo Jorgensen,President,,L,Clairborne,County Precinct 4-A,0
Brock Pierce,President,,IND,Clairborne,County Precinct 4-A,1
Kanye West,President,,IND,Clairborne,County Precinct 4-A,2
