county,precinct,office,district,party,candidate,votes
Neshoba,Arlington,Governor,,Republican,Phil Bryant,240
Neshoba,Arlington,Governor,,Democrat,Robert Gray,3
Neshoba,Arlington,Governor,,Reform,Shawn O'Hara,2
Neshoba,Arlington,Lieutenant Governor,,Democrat,Tim Johnson,19
Neshoba,Arlington,Lieutenant Governor,,Republican,Tate Reeves,214
Neshoba,Arlington,Lieutenant Governor,,Libertarian,Ron Williams,7
Neshoba,Arlington,Lieutenant Governor,,Reform,Rosa B. Williams,2
Neshoba,Arlington,Secretary of State,,Democrat,Charles E. Graham,11
Neshoba,Arlington,Secretary of State,,Republican,Delbert Hosemann,222
Neshoba,Arlington,Secretary of State,,Reform,Randy Walker,7
Neshoba,Arlington,Attorney General,,Democrat,Jim Hood,59
Neshoba,Arlington,Attorney General,,Republican,Mike Hurst,185
Neshoba,Arlington,State Auditor,,Republican,Stacey E. Pickering,224
Neshoba,Arlington,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,13
Neshoba,Arlington,State Auditor,,Reform,Lajena Walley,3
Neshoba,Bogue Chitto,Governor,,Republican,Phil Bryant,31
Neshoba,Bogue Chitto,Governor,,Democrat,Robert Gray,9
Neshoba,Bogue Chitto,Governor,,Reform,Shawn O'Hara,1
Neshoba,Bogue Chitto,Lieutenant Governor,,Democrat,Tim Johnson,9
Neshoba,Bogue Chitto,Lieutenant Governor,,Republican,Tate Reeves,29
Neshoba,Bogue Chitto,Lieutenant Governor,,Libertarian,Ron Williams,2
Neshoba,Bogue Chitto,Lieutenant Governor,,Reform,Rosa B. Williams,1
Neshoba,Bogue Chitto,Secretary of State,,Democrat,Charles E. Graham,21
Neshoba,Bogue Chitto,Secretary of State,,Republican,Delbert Hosemann,20
Neshoba,Bogue Chitto,Secretary of State,,Reform,Randy Walker,0
Neshoba,Bogue Chitto,Attorney General,,Democrat,Jim Hood,19
Neshoba,Bogue Chitto,Attorney General,,Republican,Mike Hurst,22
Neshoba,Bogue Chitto,State Auditor,,Republican,Stacey E. Pickering,30
Neshoba,Bogue Chitto,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,10
Neshoba,Bogue Chitto,State Auditor,,Reform,Lajena Walley,1
Neshoba,Burnside,Governor,,Republican,Phil Bryant,147
Neshoba,Burnside,Governor,,Democrat,Robert Gray,106
Neshoba,Burnside,Governor,,Reform,Shawn O'Hara,2
Neshoba,Burnside,Lieutenant Governor,,Democrat,Tim Johnson,123
Neshoba,Burnside,Lieutenant Governor,,Republican,Tate Reeves,123
Neshoba,Burnside,Lieutenant Governor,,Libertarian,Ron Williams,4
Neshoba,Burnside,Lieutenant Governor,,Reform,Rosa B. Williams,2
Neshoba,Burnside,Secretary of State,,Democrat,Charles E. Graham,131
Neshoba,Burnside,Secretary of State,,Republican,Delbert Hosemann,120
Neshoba,Burnside,Secretary of State,,Reform,Randy Walker,4
Neshoba,Burnside,Attorney General,,Democrat,Jim Hood,167
Neshoba,Burnside,Attorney General,,Republican,Mike Hurst,88
Neshoba,Burnside,State Auditor,,Republican,Stacey E. Pickering,136
Neshoba,Burnside,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,117
Neshoba,Burnside,State Auditor,,Reform,Lajena Walley,2
Neshoba,Center,Governor,,Republican,Phil Bryant,205
Neshoba,Center,Governor,,Democrat,Robert Gray,30
Neshoba,Center,Governor,,Reform,Shawn O'Hara,0
Neshoba,Center,Lieutenant Governor,,Democrat,Tim Johnson,34
Neshoba,Center,Lieutenant Governor,,Republican,Tate Reeves,190
Neshoba,Center,Lieutenant Governor,,Libertarian,Ron Williams,4
